keys,fr,en,fr_CH,ja_JP,it,fr_FR
economise_un_peu_message,Economise encore un peu pour ca,You'll nedd more money for that,korhkekfà=kdpfhk^kehke^r,工し 乍丹凵卞 ヨ亡回几回冊工己ヨ尺 ヨ几亡回尺ヨ 凵几 尸ヨ凵,,
met_antivirus_a_jour_avant_de_lameliorer_message,Met a jour ton antivirus avant de l'ameliorer,Make sure your antivirus software is up to date before upgrading it,segsegegezfzefefzefsdfzefzefsfsefge,卞回几 丹几卞工レ工尺凵己 几'ヨ己卞 尸丹己 丹 勹回凵尺,,
antivirus_expire_message,"Ton antivirus a expirer, met le a jour pour te proteger des virus","Your antivirus software has just expired, make sure to update it in order to prevent viruses",zegzegzegzegzegzsdsggezg,卞回几 丹几卞工レ工尺凵己 丹 ヨメ尸工尺ヨ,,
mouse_base_upgrade_message,"Tu peux cliquer avec cette souris, c'est mieux que rien",,sdgzegegsdgze,すべての,,
mouse_triangle_upgrade_message,"Malgre sa geometrie, ta nouvelle souris clique",,ghdfnfdnh,すべての,,
mouse_blanche_upgrade_message,Voila une belle souris blanche,,fhfdhrehdfh,すべての,,
mouse_mieux_upgrade_message,Tu as une meilleure souris maintenant,,rehfdhreh,すべての,,
mouse_amongus_upgrade_message,Il y a un imposteur dans ce jeu,,rhsdghsegherhreh,すべての,,
mouse_coccinelle_upgrade_message,Bzzz Bzzz,,"fgn,,ktyjyeth",すべての,,
mouse_gold_upgrade_message,,,rhndd,すべての,,
mouse_gamer_upgrade_message,Ta nouvelle souris gamer %s a la classe,%s,gzegdhbrzehrhrf %s efzegdsgg,すべての %s,,
ventil_base_upgrade_message,Un ordinateur de base,,zheherhrehre,すべての,,
ventil_pink_upgrade_message,Rose,,hrhegezgzd,すべての,,
ventil_minitel_upgrade_message,Rien de mieux qu'un minitel pour ne pas surchauffer,,gsdgzegzegzeg,すべての,,
hiclick_upgrade_message,Voilà un autoclick de compete,,ezhzreherhrerhe,すべての,,
abast_upgrade_message,Enfin un antivirus à la hauteur des virus auquels tu as affaire,,rhfhehzerhzeh,すべての,,
table_bois_upgrade_message,Rien de mieux qu'une table en bois,,azegrhfdhr,すべての,,
table_camouflage_upgrade_message,Tu es maintenant cache dans une foret,,hrlokijv,すべての,,
table_space_upgrade_message,Direction l'espace !,,ojezjgijfsdb,すべての,,
color_blue,bleue,blue,jiozejejg,すべての,,
color_cyan,cyan,cyan,jfipàjbçjze,すべての,,
color_green,verte,green,jfds)bjocbjo,すべての,,
color_orange,orange,orange,zegozejhpojh,すべての,,
color_pink,rose,pink,sdobjzjre)gj,すべての,,
color_red,rouge,red,ehrjhfd)hàzh,すべての,,
color_violet,violette,purple,zhjorejh),すべての,,
color_white,blanche,white,sjgh)zejçhzrh,すべての,,
color_yellow,jaune,yellow,r)hj)df),すべての,,
